the_review,topics
My Mic stopped,keyboard_speakers
Does not come off his head.,keyboard_speakers
They work great feel great on,headphone
"There is so much unnecessary wiring, really excessive amount of weight for mic on/off, and volume +/-. False picture advertisement no blue light are in. Not worth the money.",keyboard_speakers
I have an xbox 1 and the volume does work but how come my friends can’t hear me?,keyboard_speakers
"These work great, good shutting out noises, they sound great, you can tell the suround sound, good bass, only down side to me, is they seem to be made for laptop, cause the the USB cord for the lights is super short for controller use, you could put one of those power bars on it button it just hangs there, other then that, great buy",mouse
It works really well,headphone
Love the color and the sound and ability to talk with ease as I game.,headphone
Its a great product,headphone
"The headphones are made for children's heads. the earpieces don't cover an adult's ears.The plastic and shape of the headset itself feels cheap and breakable.The microphone quality is atrocious, and makes anyone speaking through it sound like the stereotypical kid screaming into a mic on fortnite.",keyboard_speakers
Does not work with the PS4 and they are not well made. the ear ad came off almost right away and they don’t even work well with the computer. In order to have sound you need a 3mm jack which the PS4 does not have the USB seems to be a power source for the brilliant blue lights. I don’t recommend these at all. The lights are nice but NOT worth it since they don’t do what they should.,mouse
My son loves these for using with his tablet or plugging into the Nintendo Switch.,headphone
The cord is very long for use with a Xbox controller.  If the usb isn’t used it’s just in the way.  Is not plug and play on PC.,keyboard_speakers
I can still hear my PS4 I thought the noise cancelation would have been better and the mic quality is a little muffled but everything else is great,keyboard_speakers
I got these for my boyfriend’s birthday & he loves them. They for sure noise cancel because I have to scream at him for him to hear me. You would have to connect the light usb to a power source if you’re not gaming on a computer but works great for his daily use.,headphone
My grandson was so excited to use them with his Playstation 4,headphone
Ordered this for my 12-year-old son. The second he opened it he could tell it was junk but he tried to give it a fair shot. Both my boys are really big into gaming and they said that this is pier crap. The microphone doesn’t work at all he can’t talk to any of his friends. I’d return it but my time is more valuable than this item. If your kid is little and he doesn’t have any friends to talk to this might last a week or two. But besides that he was pretty upset. I wouldn’t buy it if I were you I had to order him a different set so just my opinion. If you don’t know what you’re looking for don’t get this ( mom doesn’t know),keyboard_speakers
"These headphones are comfortable and the noise cancelling is great. The sound quality is also very good both through the headphones and through the mic, the only issue is the wires. It's impossible to use the lights through the USB and plug in the headphone jack at the same time on my laptop because the USB and headphones inserts are on opposite sides and the wire isn't long enough, which is really irritating when the actual wire is very long and its just the split wires part that's too short. The extender they give with the product also seems cheap. The sound through the headphones with the extender is completely messed up to the point of it being unusable. None of these problems are with the headphones itself, so I still gave 5 stars, but it's annoying that I can't use every feature included. Honestly the product is a solid 4.5 stars.",keyboard_speakers
Decent for the price.  It works as described.,headphone
Bought as a gift and seemed to be received well. Love the color,headphone
"It literally barely works, no one on discord can hear anything I say just the faintest whispering, had to go back to my old mic",keyboard_speakers
Good,headphone
"I have trouble getting it to keep up good audio. Sometimes it's ok, but it's been going downhill steadily for a year.Mic has only one axis of rotation, so I can't get it closer to my mouth. That's part of the issue, but only part.It's also not very comfy, as the spring force is too strong and the earmuffs too firm.Overall they are cheap and they feel like it and sound like it. I would get something better were I you.",keyboard_speakers
"The sound is awesome, very lightweight, however the microphone is very poor quality and no one can hear me, so waste of money for my purposes, bummer it’s a cool unit, just wished it worked.",headphone
I recently just bought this headset for my Xbox when I went to test it out. The wire was way to long for gaming and when I tried using it all I can hear are cracks every time I talk. Don’t buy this ever go for a different pair.,keyboard_speakers
Great,headphone
I was using these headphones for my laptop and sound only comes from one ear and no matter what I do it does not work and the audio plays out of the headphones when plugged in,keyboard_speakers
Not the best,headphone
"The sound quality is good, but I keep accidentally pressing the scroll down on the sound. Also, for my pc the mic is absolutely terrible no one can hear me at all. For pc, get a different headset!",keyboard_speakers
I have had many headsets and the sound from this headset is terrible nothing like what they have posted or advertised I highly do not recommend these for gaming,keyboard_speakers
"Definitely a good product for the price. The only thing I wish is that I could go slightly louder on some games. Other than that, they’re comfortable and keep out excess noise for sure.",keyboard_speakers
Awesome headset wouldn't go back to anybrand under 100 dollars to replace this one amazing deal,headphone
Great product. Works good. Durable. Sounds good.,headphone
Overall happy with product,headphone
"This lasted barely 4 months and microphone is broken. 1 ear speaker still works, other speaker is broken. This is low quality junk. Pay a little extra and get something that works.",keyboard_speakers
"just spend 10 dollars more, this is a terrible quality mic and speakers.",keyboard_speakers
These headphones are worth the money. Clear and durable (they get dropped a lot). Will definitely buy again.,keyboard_speakers
I think they sound fine they were pretty nice and do the job at a great price,headphone
"I use this to keep out the noise that goes on in my house. I live with 3 kids, so it can get quite noisy around me, and these do a good job with keeping the noise out.",keyboard_speakers
I liked the quality for gaming and the sound quality is great for what we needed it for. My son uses it for school and for leisure such as playing games and watching youtube.,headphone
Grandson loves him,headphone
Great purchase for a gamer,headphone
i was hoping for much more sound than i got. mic is...ok,keyboard_speakers
Ok for gaming. The sound is already failing on one side. Very disappointed.,headphone
 By far my favorite headset.,keyboard_speakers
"I bought one of the used headphones, said it was in great condition just the packaging was different. When I tried to talk with my friends I couldn’t hear them and the mic was not working no matter what I did, terrible quality and an overall nuisance to use.",keyboard_speakers
Could not get product to work. And the cord was too long,keyboard_speakers
Good,headphone
"This gaming headset does not light up when you play, this “ONLY” lights up when plugged in to the USB for Charging ONLY. I initially bought it because I thought the led would show when I’m gaming which is the main purpose but I was wrong. Plus the cables are way to short to have it plugged in and the surround system is bad. Wouldn’t recommend buying this cheap mic.",mouse
"THIS IS NOT A BLUETOOTH PRODUCT, EVEN THOUGH IT SHOWS UP IN RESULTS AS BLUETOOTH.",keyboard_speakers
"The microphone barely detects audio if you're talking at a volume any less than screaming, painfully uncomfortable to wear with glasses, and the sound quality isn't much better than my old headset which I've had for 4 years. Even for only $30 I expected something I could use for at least 5 minutes before it gave me a headache.",keyboard_speakers
The Mic is good and the sound quality is also good.,headphone
Does work for ps5 controller . Just doesn’t have a plug to light up,mouse
"I've had these for a little over four years now and I have had no problems with them at all.  Mic is great, sound is great, volume control is easy.  There are blue lights in the headset that light up if you plug the USB portion in for power.  They are everything I need/want in a headset.Edit:I've used these exclusively with playstation/Xbox consoles over the past 4 years with no problems, but recently I've started using them for PC gaming as well and for some reason the mic does not work with PC. Sound coming through the headphones is still fine though.",keyboard_speakers
Sound is great. Mic is great. Everything about these headphones are top notch. They even light up and I didn’t know that. I was so excited when I got them in the mail! So cute and so high quality!,headphone
You can hear the Xbox audio in headphones but TV sound still plays.,keyboard_speakers
"I got my headset a few days after I ordered it and it turned out that one side is not working so I notified them and right then and there they replaced it with a Red one(as I requested because it just goes along with my computer, no questions asked. the headset looks AWESOME! I love the lights.Anyway, besides the awesome lights, this has got to be one of the most decent(sound-wise/quality) and most awesome-looking headsets out there, and for a very sweet price. I mean a price like that for a headset like this is very cheap. I repeat...the price is very cheap for what this headphone's worth.If you're a gamer and do not want to spend a crap ton of money for a decent headset, you might want to try this.",headphone
" No stuffing in the box to keep the product for bouncing around in the box. Which came with dents all in it. Which can cause the product to become damaged in transit. It seems like an issue they could easily address.It advertised sound quality that it could not deliver on. The sound quality is terribly poor. It sounded like I was listening to the TV instead of a headset. Even though the sound was coming from the headset. This is with the volume on the headset turned all the way up.It was advertised as a headset that can be used with gaming consoles. You need a USB for the lights, but the chord for that is splits from the aux input and the chord is only ≈8 inches after the split. Meaning if you're using a controller your not able to enjoy the full experience of the headset, because you would need to be have the controller ≈8 inches from the USB source. Not to mention, the lights aren't as bright as advertised in the pictures.It advertising noise isolating mic. Personal testing found this to be false. Not only could I hear the video I was listening to on YouTube, but I could hear my air conditioning in the background. Not what I would call noise isolation.Some people said the headset was too small. I found it to be too big in my experience. Either that, or they are just too loose because of the padding quality on the ears. I can shake my head slightly and it'll fall right off. When I game I like to immerse myself in the game. Which might mean small quick movements and leaning side to side. That would cause the headset to fall off your head. Watch video for demonstration.Speaking of the padding on the ears, that might be what causes this headset to not be noise cancelling. My JBL ear buds have more noise cancelling capabilities than this headset does. I could still hear when someone opened the front door to my building while playing my game.I will be returning these and requesting a refund.",keyboard_speakers
Hubby says these are more comfy to wear than the $100 ones I bought him last Christmas. He plays COD and said that they cancel out the noise of the household going on around him and he's able to wear them for several hours without them hurting his ears or head at all.,keyboard_speakers
Sounds ok. Does decent but after 1 month my friends can't hear me correctly. I sound fuzzy and broken to them but the game audio is ok. I'm using it on a Xbox series x,keyboard_speakers
Sound quality (speaking and hearing) are excellent but definitely not meant for consoles. The USB and Aux jack are right next to each other! So no LED lights for console players.,keyboard_speakers
"Amazing headset but my only complaint is the people talking to me in discord were hearing themselves talk through the headset and into my mic back to them, so I had to work on and fix that. Beside that no complaints",keyboard_speakers
"I can't attest to how noise-canceling they are or the sound quality. My kids took them out of the box & hated how short the mic was. So I returned them. Otherwise, I think they would've worked just fine. But we had headphones like these at one point in time (supposedly) & bc the mic is too short (it doesn't come fully at the mouth) - others you're gaming with have a hard time hearing you. This is a review from a kid gamer who SHOUTS at everyone so I'm sure that if they can't hear you bc the mic is too far away then that's gospel truth in gaming land.",keyboard_speakers
I’m not sure how to set it up so my son can use the mic on his Nintendo switch?,keyboard_speakers
"The sound it good, and people can hear me on video calls.  What I don't like is the fit on my head.  I have a big head and when I pull it open to put on (stretch just a little) I feel like the plastic is about to break.  Also the hard plasic isn't a great fit and feels kind of odd.  I probably should have returned them, but needed them for work so I kept them. People can hear me and I can deal with it since I am not on calls all day.",keyboard_speakers
He loves them,headphone
I actually just bought this for my online meetings and phone calls done via my laptop. They work fine for that.,keyboard_speakers
The sound quality is on par maybe slightly better than other units in this price point.  Easy to wear not heavy at all.  The noise canceling is not the best but was not expecting anything crazy good.  Works well for the kids when gaming. The lights give it that wow factor for the kids.  No issues here.,keyboard_speakers
Great product. Very loud. Can't hear no outside noise. Very heavy duty. 5 star all the way. Highly recommend.,keyboard_speakers
Gaming,headphone
My son loves it. The LED light only works if you use the headset with a computer or laptop.,mouse
My son is using for gaming on a ps4.,headphone
"I purchased these for my nephew and they are absolutely amazing!!! Great headphones for gaming, will definitely order another for myself.",headphone
they were cheap and not comfy at all,keyboard_speakers
Low quality and barely can hear anything. I had to get a return cause it was worthless,keyboard_speakers
just perfect,headphone
"Wow. The headset has incredible sound, base will make your belly shake. Not all ambient noise is cancelled, but I can't hear the TV and talking in the background. All that for under $20.",keyboard_speakers
"Great audio,just breaks wayy too easy. Have to buy a pair like once a month.. Time to find a different,better brand.",keyboard_speakers
"These are my very first pair of headphones for gaming. So far, I love them! I haven't had them long enough to give more details, but I will update for sure.",keyboard_speakers
This is the perfect headset for gaming. Great product for the price‼️,headphone
"After a month, the cord has malfunctioned and sounds is now choppy",keyboard_speakers
"Within a couple of weeks from purchase, the connection seems to cut out. No one can hear me and I can't hear anyone. Trying to play a video game, not ""can you hear me now?"".",keyboard_speakers
My son loves it n still has it,headphone
"My son’s old headset was on its last leg. He loves this one, especially the retractable microphone.",headphone
"Didn't see that the LED lights only work with the usb, and I bought it for Xbox.... so no lights. all the wires and stuff make it look clumpy.",mouse
Purchased to of these for myself and wife. For the price can’t complain had them for few months as of now still operating fine,headphone
"This is a decent headset if you're using it for PC gaming. There is no noise cancelation. The loudest volume is not that loud to be honest. The LED lights needs the USB to be plugged in which is on the wire next to the plug you would put into your controller. You can use it for Playstation or Xbox but you can't use LED unless you have some sort of attachment on your controller with a USB port. I guess I should have expected this since it wasn't too expensive although for this product I think the price is a lot. This is equivalent to a 15 dollar headset based on sound quality, no noise cancelation and the LED lights not being able to be plugged in especially if you're playing on Playstation.",keyboard_speakers
"I've had many headsets over the years and this one's sound quality is right up there with the best of the mid-priced headsets; however, the quality of the outgoing sound from the microphone is horrible. I have played with the same group of friends and they can barely tolerate the sound of my voice when playing. I've tried tweaking the voice settings on my computer and have been unable to fix it. When using my old headset, there aren't any issues. Other than microphone quality, the headset it above average.",keyboard_speakers
"Advertised as compatible with the Switch.Then you get the product, and the instruction booklet says mic isn’t compatible - and it’s not, the mic WILL NOT work when using with a Switch. Sent back and finding something else for my son.",mouse
My son needed a new pair of gaming headphones and these were a steal! Great price for great quality. My son loves them and said they’re better than his last pair.,headphone
"I've bought this headset multiple times now, it is very good for the price, but it has a few problems. The sound quality and microphone are good, but the headset it not very comfortable for long gaming sessions, and it is prone to breaking after constant use, would recommend to anyone looking for a cheap headset.",headphone
ear muffs feel cheap and after an hour it just feels weird on you head. Solid pass,keyboard_speakers
"it’s works fine but honestly i would suggest a better quality one, it fits weirdly around the head but the sound quality is fine. you get what you pay for basically",keyboard_speakers
They are of quality construction and withstand the constant on/off.  Very good product.,keyboard_speakers
"I like this headset a lot and I use it primarily. I have two grievances: the cord and the mic. The cord is extremely long (good), but it gets tangled up with itself very easily and is difficult to fix. The mic is poor quality. Everything else about it is good.",keyboard_speakers
Works great,headphone
Must be connected to console to light up but other than that great for the price. Volume was tricky to find but it does adjust.,keyboard_speakers
Son loves playing with his friends and enjoys the sound quality of the headset. he uses it on a ps4.,headphone
" (Bought for gentle PC gamer girl)This headset is a pretty good one I would say. The microphone kind of sounds like you’re talking on a toaster so I would recommend getting a separate mic setup if you’re planning to use these for streaming or making videos. The volume control is located on the cord, the only complaint I have is that it occasionally gets stuck in the arm of my chair and lowers itself. The lights are not colored it looks to just be regular LED lights in a plastic casing so if you’re buying these for someone who rages at games they could very easily break them.",keyboard_speakers
Better then $80 set!! Highly recommend 10/10!,headphone
Works great,headphone
good as expected.,headphone
He loves them.,headphone
Great gaming gear!,headphone
"Ok, so I am not a super tech person and I am not sure if this is a fixable problem or not, but only one side of the headphones work. That was the whole reason on buying another pair of headphones, because my first pair of a different brand started to break and lose hearing in one side. I just opened mine and yet it has the same problem. Other than that, they seem great! Just wished mine worked, y’a know?",keyboard_speakers
"Absolutely zero complaints.  I prefer wireless, but if I wanted I would have purchased wireless. Comfortable, great sound and it does have an extremely long cord that makes it nice.",mouse
I brought these for my gaming system. BUY IT !,keyboard_speakers
Son uses it for his xbox,headphone
My grandson loves it!,headphone
These are not bad at all for the price. Whenever I’m playing a game online they work and sound great. I’ve only had them about a month now but no issues whatsoever.,keyboard_speakers
Good,headphone
Constant clicking sounds and static over the microphone. This product is just terrible and is most likely due to the cheap 3.5mm design with no QC over it. The sound quality is decent but the cheap plugs they use make it a failure since you will end up with the annoying buzzing sound. Maybe you can get lucky and get a headphone with the plugs properly fitted but chances are even a little bump here or there will easily knock it off place. Good luck taking your chances with this product.,keyboard_speakers
no sound and hard to talk,keyboard_speakers
"Perfectly acceptable for both business meetings and Discord chats, but the sound quality isn't too good. You sound like you're coming from far away. Other than that, it's worked for years. No other complaints.",keyboard_speakers
"Product says it works on Xbox one, it does not, headset has a USB plug when Xbox does not support USB headsets",headphone
The Best,headphone
Love the over all sixe and make of the unit .. the mic has no problem and one you set the volume to hear others on the phone or computer you are good to go.. TH long chord is a bit much for close phone use so the velcro tab was hepful till I set a tie rap as I workout or in my wheel chair dose not need trip hazards.,keyboard_speakers
The microphone is too short so if you have a big head the people ur talking to won’t be able to hear you.,keyboard_speakers
"Poor sound quality , like if someone stuffed a papper  towel or cotton ball in it .",keyboard_speakers
"They were decently sounding with a good amount of noise cancellation. However, these were more intended for pc because there is two cords, one for sound and one for the lights. The cord is too short to connect it to the ps4. Also the cord is big and gets in the way too much while gaming.",keyboard_speakers
"Solid gaming headset for a very good price, over the ear provides good noise cancellation, the plastic materials used in the headset feel a little cheap but I’ve had my headset for the last few years and it still works well",keyboard_speakers
"My 8yr old daughter is new to gaming and loves to game with my 12 & 13yr old nephews. I got them each this head set and so far they love it! I really didn’t want to spend $300 on gaming headsets, these are very reasonably priced and worth it! Definitely recommend it ☺️",headphone
"Mic is really trash, but its cute and has good sound quality",keyboard_speakers
"This headset is so big and bulky, especially for a kid. The audio is fine, and is better than most budget headsets. The mic started having static issues after 6 months. Every time you slightly move the cable, the static is incredibly loud through the mic to the people you're playing with. That tells me the internal components are poor quality or poorly put together.",keyboard_speakers
When I got this immediately I ran into problems with the mic. My friends couldn't hear me and I could barely hear them. It never picked up my voice no matter how loudly I spoke. They would hear every other word but never the complete sentence. I tried to work with it for weeks but ended up using my Webcam mic for a while because it sounded better and I could be heard.,keyboard_speakers
"The second we plug the mic into the Xbox controller, the controller turns off. When we take it out, the controller turns back on. Tried it with all 5 of our controllers. Bogus. Do not buy.",keyboard_speakers
Noise cancelation is what my grandson liked,headphone
Gift,headphone
"Really nice headset. The only note I've got is if you are using this for a PS4, the USB placement to power up the lights on the headset is right next to the audio jack (like connected 8-10"" away).  Not very practical and you'd have to put a USB extension on it if you want to power up the lights.  I could care less about the lights, so I've got high marks for this.  Great noise cancellation, sound is crisp, and headset is very comfortable.",keyboard_speakers
"Worked well at first.  Few months later, all incoming sounds came in sounding like the speakers were blown.  They just keep getting worse.  It's so difficult understanding people.",keyboard_speakers
"The ear cups fit really good. Have not had a chance to use for skype or other mic features so can't say on that. It DOES come with mic/speaker split connector, which it does say you need to order. LED's are bright!",keyboard_speakers
Works just as described.,headphone
"The product came as described it’s just not that loud to me. I turned my sons Nintendo switch lite up to the loudest notch and even turned the headphones up , but it’s not loud at all",headphone
"I use this when I'm gaming on my pc, and as my work headset when in traveling.  It doesn't squeeze my ears too much, even though I've got a big head, it sounds great, and the Mic works great too.  I've taken many meetings without any issues on this.",keyboard_speakers
Does not do that great. and the mic doesn't really pickup your voice well. you have to talk really loud. I checked all my settings.,keyboard_speakers
Awesome to use not too expensive husband loved them,keyboard_speakers
my gbaby love them,headphone
"My son loves these! He said they are very nice and comfortable, the sound is great! He would give them 4 stars!",headphone
So if you're looking for top of the line gaming headphones these aren't it. But they look really cool and sound pretty good. You can't beat the price.,headphone
Amazing product!,headphone
Grandson was happy,headphone
"The noise canceling is false. At first when I used them they were good I owned 2 pairs of these, and the same problem happened with both. After a while the sound only goes to one side you have to mess with the volume adjustment to get both sides to work. If you move it even a little it only works on one side again. Will not be buying again",keyboard_speakers
Works well for Xbox X. Good quality sound. Style is nice. Fits perfect for large heads.,headphone
Looked cool. Cancels sound ok. But def hard to hear Xbox or a tablet/laptop audio at full volume and also def not good for game chat or work calls on laptop. For both parties,keyboard_speakers
Son wanted a pair microphone phone to play with his son. These are really nice earphones. He really likes them. Beautiful blue color.,headphone
"My son really enjoyed this headset - he liked the look, they were comfortable and sound was good. But the microphone stopped working within 6 months.",headphone
"Great headphones, great sounds quality!",headphone
Working great,headphone
Only one side works,headphone
So great for the price. My son loves them!!!,headphone
This is a great headset for the price. It does what I need it to do,headphone
"Volume level needs to be high for microphone to work normally but the high volume has way too much base and hurts your ears! Plus the ear muffs are too small. 😎✅ Need to spend about $100 or more on quality headsets like Astro, Turtle Beach or other brands!",keyboard_speakers
These headphones so far are great no complaints purchased for 11 year old gamer in May so still fairly new,headphone
So it cancels most noise out but other people on microphone complain about all my background noise being too loud.,keyboard_speakers
"If you’re a single mom like me and don’t want to buy some expensive headphones for your 11 year old gamer child you have, this one’s work great and are affordable. My son has been using it for the longest time.",headphone
I bought this product because we are a family of gamers that like to play on different consoles. These headsets have been awesome and were easy to use. The sound quality is great and really drowns out all outside distractions. Would definitely recommend.,headphone
Not bad but hurts my ears after long gaming sessions,keyboard_speakers
It came in great condition. The only issue I have is that the mic is apparently muffled. This might be an issue with the audio splitter it comes with though.,keyboard_speakers
"I loved these headphones until they abruptly stopped working after 6 months. I know that sounds like a long time, kind of, however I haven't used them that often and they are stored properly.",keyboard_speakers
"I have having a really hard time finding the right headphones and when he got these he won't take them off. They are great for all gaming systems, he uses them for Switch.",mouse
I was excited for this headset but as soon as I hooked it up I noticed sound only comes out of the left earpiece. The right side has no sound.Don't waste your money on this headset!,keyboard_speakers
Sound quality is great. Comfortable to wear while gaming. Would definitely recommend.,headphone
definitely not noise cancellation with terrible quality speakers and a bad mic that no one in the game can hear. i do not recommend this as a gamer to other gamers,keyboard_speakers
Works great and looks cool! Great value for the money.,headphone
"Everything works great except one thing. Microphone cannot eliminate the noise from my surrounding. When I play Apex Legend with my brother, he is always ranting me about the sound of pedestal fan like beeping sound that he can hear from my microphone when I turn on the pedestal fan.Hope this review helps.Everything works great except for poor noise reduction of microphone.",keyboard_speakers
Everything was fine with this set. I was in a pinch and needed a new one. Noise cancelation is good - can't ever hear what my sister or boyfriend are saying to me haha. But I don't use the lights or anything. Just for mic and hearing,keyboard_speakers
"Title says all. Good for the price, but the USB is literally for lights only. And the mic mute button doesn't work.As a basic generic headset though, A+.",mouse
This headset works really well,headphone
"I can hear, but the mic has never worked even after much troubleshooting. They're also pretty uncomfortable compared to other headphones I've had.",keyboard_speakers
There’s nothing special about it and the only reason I got it was cause of the positive reviews. It’s the perfect gift for a child….. that’s it nothing else.,headphone
I move a little bit and it disconnected doesn’t want to reconnect to my controller I tryed every thing,mouse
"got these for using the mic, mic does not work at all, even when push it closest to my mouth you can hardly hear my voice in recordings at all no matter how much i fiddle with the settings/dial, pointless purchase, luckily i was able to get a refund at least.",keyboard_speakers
"The sounds doesn’t consistently stay on, the entire headset feels like a plastic toy, doesn’t not fit over your ears for maximum hearing. And the volume/quality is so bad you can’t hear your game. DO NOT PURCHASE 👎🏽",keyboard_speakers
"A little after a month, the connection where the wire meets the plug for the controller went bad, now the headset is useless. Do yourself a favor and get either wireless or a better made headset.",keyboard_speakers
I like the head phones. The sound is good.,headphone
"The Good: Decent sound quality, and relatively comfortable.The Bad: Uses an analogue jack for the speakers, making plugging it into certain devices difficult or impossible without an add-on like a splitter. The microphone is an inflexible piece of plastic and people I talk to online complain about my voice being muffled and distorted.Overall: Overpriced for what amounts to an okay pair of headphones.",keyboard_speakers
At the start I noticed that they weren't that loud even with the volume on 50-60. I ignored it though because it wasn't that bad. I regret doing that because now they got even lower with the sound on 100!  This product isn't worth buying....,keyboard_speakers
"I bought these headphones for use on xbox and they sisnt even work with sound. I was then shipped another pair ""not the same"" (Hunterspider Gaming Headset Headphones for PS4 PS5 Switch Xbox One PC with Microphone, Noise Reduction 7.1 Surround Sound & LED Light (Blue)) these were given to me instead and the mic doesnt even work on these......",keyboard_speakers
Got it for Xbox 1. They're pretty decent for the price. Sound quality it's great along with noise cancelling. Only thing I didn't like is that in order for the lights to work it has to be plugged in a USB.,mouse
Great for people who game alot,keyboard_speakers
"I like stuff loud, I’m a bit of an audiophile, but I don’t like spending a lot unless it’s worth it. I prefer cheap and effective, and that is this.I used to use the official PlayStation wireless headphones that cost over $100. And those were great, but then they stopped charging, and I got these.I freed up the USB port that was being used by the wireless headphones because these headphones plug into the wireless controller.So for a lot less money, it’s still wireless!And they sound great.",mouse
"Only the microphone jack worked for me. It comes with a splitter but that did not fix the issue. Again, do not buy this product for PC.",keyboard_speakers
Bought these for my daughter for her gaming computer and she is absolutely in love with them they don’t hurt her ears and they work great,headphone
"Misleading information!!!! I purchased this as a gift. You can only use the lights or the microphone and speakers on the ps4, you can’t use them at the same time unless you want the console on your lap. Very disappointed.",mouse
"I had been looking for a gaming headset for my PS4. I'm a casual gamer and I was looking for something that I could use when I play late at night. I read the reviews for this product and convinced me to buy. When I received it, I was surprised how big the headphones are but it wasn't a big deal. When I tried them on, they felt comfortable and I have been using them for long period of time and my ears have not gotten tired.The sound quality is surprisingly good, with good bass, and I can hear the surround sound effects of my games. The voice chat quality is very good with clear quality. In terms of noise cancellation, it's not true noise cancellation. I can still hear sounds form outside when playing but it's minimal.Overall, I'm pleased with these headphones as they do their job just fine.",keyboard_speakers
They are pretty good,headphone
"Headphones are slightly uncomfortable to wear, and the mic isn't very good. Mine broke quickly after a few weeks with seemingly no explanation. That being said, the sound quality is ok and these are ok headphones for beginners.",keyboard_speakers
Very nice and sturdy. Just heavy on head.,keyboard_speakers
"The headset is nice but the cord on the actual product is different from the instructions.There are two jacks, one for the game controller and a USB connection to power the lights. If you look at the pictures, the split is further down closer to the jacks than what is explained in the instructions.I doubt anyone would be able to use the lights unless they’re sitting next to an outlet. Also, there isn’t much room to use the controller if the USB is connected to a power source.Poor design of the cord.",mouse
Strictly gaming,headphone
"It looked like it does in the pic listing says it works with apple... No clear directions on using it with the Iphone.. Terrible self support and regular support. The info of setting up iphone was basically it works on some stuff, might work on iphone figure it out yourself. The support is NONE they never contacted me back and I couldn't get it to work so I sent it back. Worst service I've had on Amazon.. No excuse for not at least responding to a support issue.. Steer clear of them they don't care about their customers!",keyboard_speakers
Very nice headset,headphone
Great for COD,headphone
"Great headset. Microphone last about three months before it broke. I’m searching for a good headset and this wasn’t it. Great sound, excellent noise cancellation. These gaming headsets take a beating as none of them have ever lasted a year. I play battle total and FPS so communication is needed.",headphone
Cannot use the product. Due to false marketing.I had to research this product extra and finally found that the last picture shows a chart.. again on the last page saying an adapter is needed.The original page on Amazon shows Xbox one is supported as it comes. That is false marketing.,keyboard_speakers
"The audio quality from the headphones is pretty great, but the mic could be better.",keyboard_speakers
Audio is muffled,keyboard_speakers
My grandson has no sound.I bought it for him .,headphone
I got this for gaming with a microphone and it did not disappoint. I could hear clearly with comfort and talk to my friends through the game. I also like how it lights up. 😀,keyboard_speakers
"*Edit*The company did reach out to me to tell me they are getting a new supplier. Maybe the mic will work better for future customers. They offered a replacement/refund as well, but I have already purchased a new headset that works a lot better. They also tried to talk me into deleting the below review, but it was my honest experience with the headset that I received.*Original Review*This worked well for a very short while, but now the microphone is way too quiet and nobody can hear me (in Discord). The sound quality through the headphones is still good, but I can't use it to game with other people because they can't hear me. It's such a shame. It also doesn't have an option to use the laptop's microphone instead of the headset, so I can't just use it for the headphones.",keyboard_speakers
The cord is very long and usually gets in the way. When I first got my it would make static noises and also echo other people. I suggest getting a different mic.,keyboard_speakers
They kind of work. I have to unplug and plug back in from time to time because the sound quits. I should have not been so cheap.,mouse
"Husband needed a new headset, got this for his birthday and he was shocked it was affordable because he said the quality during conversation with teammates were comparable to his expensive turtle beach headset if not better! 10/10 recommend!",keyboard_speakers
As described,headphone
"The microphone on these headphones didn't seem to work at first but then found it had to be in just the right spot, which is not normal. They also DO NOT light up like the picture shows them doing. This doesn't affect how they are used but they shouldn't advertise them lighting up.",mouse
"Microphone doesn't work.Bad sound Quality,Dont buy",keyboard_speakers
My 15yr old daughter loves them..,headphone
"It could easily just be me, however I found the headset to be to small around my ears and rather overly tight as well causing some discomfort. That said, the headset is beautiful and works perfectly.",keyboard_speakers
No complaints,headphone
Quality,headphone
So far so good,headphone
Bad,keyboard_speakers
It’s good for gaming. The only way it lights up is if you plug the usb into your laptop or charger adapter. I also use it for my phone but it has a shortage.,mouse
Son loves it A++,headphone
"Originally not happy. Couldn’t get the speaker to work. My grandson was so disappointed. After trying several different things, we finally got the speaker to work and my grandson is gaming with his friends. Definitely worth the money.",keyboard_speakers
"If you have an extremely large head, then this is the headset for you. I mean a round head. Like a basketball or a balloon shape head. If you don't don't bother, they're just going to fall off your head",keyboard_speakers
This was a Birthday  present for my son 2022. One ear piece has already quit working and the microphone is now staticky sounding and his friends can’t understand him. Of course the return window has already closed. Not happy.,keyboard_speakers
not enough padding for my ears,keyboard_speakers
We used these headphones for virtual school with a busy household. They worked great!,headphone
Exactly as described,headphone
Good sound,headphone
This headset is ok for a little kid for gaming or for someone starting out. The sound quality is not the best. This headset is meant for a pc system and for a console system.,keyboard_speakers
"hot garbage, sounds okay but the mic is trash.",keyboard_speakers
Great and affordable.,headphone
It's very big and clunky but give very competent sound and bass cancelling outside noises. It's useful for when you don't have to put batteries in your wireless gamer headphones.,keyboard_speakers
I have tried everything to get the mic to work on this headset to no avail.,keyboard_speakers
My daughter games and needed a new headset. This one works nicely for her.,headphone
My son broke his expensive so I looked for a cheaper alternative and found a great product he uses it on his ps4. Would buy again,headphone
"Honestly I’m very surprised by the sound quality. The noise cancelling I would say is 9/10, sometimes I’m afraid i can’t hear if someone calls me at home. And the foam on the ear cups and the head part is really soft. I have a longer head so these burly fit me. But over all I am really enjoying them. Now to see if they last long.",keyboard_speakers
Really comfortable great sound quality from both ends and it can be used for a lot of devices.,headphone
"clarity all the way, great product",headphone
