review_title,review_title_length,the_review,the_review_length,review_score,year,month,month_name,day
Nice keyboard,2,I bought this specifically because it said it was a quiet keyboard. Not even close. It is no more quiet than a normal keyboard. False advertising and False description of the product. I have a quiet HP keyboard and thought this one would be like that one because of the description. This one went back in the box and I ordered another HP Wireless Elite Keyboard v2. Wish I had just ordered another HP in the first place but got fooled by the false description in the headline of this keyboard.,91,4.0,2019,08,August,21
Good for the price,4,"This keyboard is a satisfying purchase. It checks all the right boxes and is great for gaming, work, and everyrthing in between.",22,5.0,2019,08,August,21
Nice keyboard!,2,"I have to change my review from a 5 star to a 2 star. I had surgery a couple weeks ago so my keyboard sat unused for 2 weeks and getting back to it, it only works about half the time. It either won't type anything at all or it types the wrong thing. Nothing was spilled on it, it is dust free, undamaged, etc... I now realize the lighting up underneath is a hampering problem instead of a good thing because if all it did was light up under the keys, that would be fine, but without the keys having painted on white letters, they're virtually impossible to see and that's a pain in the ass. I wanted to return the keyboard for a refund so I could get a different one, but I apparently passed that window while I was recovering from surgery. Also, I have asked questions of the seller, but they have yet to be answered. So my original 5 star review has now dropped to a 2 star and if this continues over the next week I'll leave a worse review and drop it to a 1 star for customer service alone. I paid for a product and I expect it to work and if it's not going to work, I expect to be able to get my money back so I can find a product that does work. I am an author and a gamer and this has really messed up both aspects.",249,4.0,2019,08,August,20
Love this product,3,Product is as described! Pleased with my purchase.,8,5.0,2019,08,August,20
Very cool keyboard,3,"Letters are small and faint even with the back lighting, perhaps there is a way to increase the brightness",19,5.0,2019,08,August,18
Works perfectly,2,"I like to keep office lights turned down depending on task at hand and appreciate the illuminated keys.  This is just for my personal office use.  I would actually prefer the option to use battery power but charging  by USB now and then is fine.  Personally I was looking for a keyboard with larger letters as my eyesight has gotten worse, but sny option I saw was wired, not offered as wireless.  Would also have preferred all one color but for my personal use this is rather pretty.",88,5.0,2019,08,August,18
Disappointed,1,if you type too fast certain keys will not register,10,1.0,2019,08,August,18
"Lightweight, attractive, easily to use and quick to charge.",9,"I am not a gamer - but I love the keyboards that light up and change color.  I finally needed a new keyboard for work so I ordered this one since it was such a great price and I am not a fancy keyboard person (curved, 2 piece, etc.) and I LOVE THIS KEYBOARD!!  I am probably going to buy a second one for home - this is perfect for me.  Super happy with my purchase and super fast shipping - 5 stars plus!",84,5.0,2019,08,August,18
Cool Effects,2,"I charged the keyboard overnight. It lights up; but when I plug it in to Dell computer, the keystrokes don't register with the computer. It doesn't work. I'm very disappointed because I wanted to use it while it's dark in the morn or night. I emailed KLIMtech and no response after 3 days.",53,5.0,2019,08,August,17
It seems like there is more light coming through the space between the keys than the actual keys,18,It’s very lightweight but feels relatively solid.  No issues after 3 weeks.,12,2.0,2019,08,August,16
Avoid this one,3,I have not had the keyboard long but it  has a nice feel and I love the fact that it is wireless.  I have a small desk at home and can move it anywhere I need it.,37,1.0,2019,08,August,16
Pretty cool keyboard!,3,"Dislikes:European layout of keys.Definitely not American made like the branding suggests.Likes:USB-C charging.Soft texture of the keys.Lightweight, but sturdy.Silence.",18,5.0,2019,08,August,15
Fantastic Keyboard!,2,"Really nice keyboard, Its far quiet than a mechanical keyboard which is what i want. The finger resist is slightly higher but its fine. Battery lasts me about a week on full brightness. There is not many cons so i am nick picking but every time you turn off the keyboard it forgets your settings. and the actual placing of the off button is unusual, so i just always leave it on now (Its really just to stop the cat walking on it).Anyways, i highly recommend it espcially if your computer doesnt have Bluetooth",94,5.0,2019,08,August,14
Amazing Gaming Keyboard,3,"this keyboard works great,easy hookup and rechargeable.will recommend to others.",10,5.0,2019,08,August,13
Love the freedom!!,3,"power problem on and off. qc problem, like chirstmas tree.",10,5.0,2019,08,August,13
Great value,2,Battery life is impressive and pretty responsive.,7,5.0,2019,08,August,12
Awesome keyboard,2,"Works great, easy to use!!! Worth it",7,5.0,2019,08,August,12
Best keyboard,2,It came on time looks nice and is very light weight,11,5.0,2019,08,August,11
Easy to set up and use.,6,Excellent product. Easy to install and the keys are very soft. It has a very fast respond when I'm playing shooting games,22,5.0,2019,08,August,10
Ehhh? I didn't like it but knock yourself out.,9,"I bought this for my daughter and she loves it. The colors are great (which is what she loves most). It’s also very lightweight, simple to use and reasonably priced. I like that you can charge it instead of having to change batteries. The most important thing for me is durability. She is a child and is still kind of rough with her electronics but so far it is holding up.",71,3.0,2019,08,August,09
easy plug and play,4,Best Keyboard I had in a while,7,5.0,2019,08,August,09
"Keys are too big, lights aren't bright enough, felt poorly made",11,It did not come with the chip,7,2.0,2019,08,August,07
Satisfied...,1,Nice keyboard with a few quirks.,6,5.0,2019,08,August,04
Awesome keyboard,2,"It's great, silent but deadly.",5,5.0,2019,07,July,31
Perf for ps4,3,"Really cool keyboard!  The rainbow lights look awesome.  I like that they turn off/on automatically while in use to avoid draining battery faster.  I can't speak to how long it stays charged or with what kind of use--my keyboard use can be pretty sporadic as it's just for personal use and not heavy gaming or regular work use.  The charging cable is short for my liking; I prefer to plug it into an adapter and not the computer for efficient charging.  The feel of the keys is nice; they press easily but not too easily.  Typing is quiet.  The keyboard is very lightweight, which is nice for someone like me who moves it to charge it and also put it away when not in use.  It's also fairly compact for a full keyboard so it's nice it doesn't take up much space.",142,5.0,2019,07,July,31
Bought for PS4,3,"I love this product, it’s a nice design, very light in weight. And does what I want it to do. Charges with ease. I’m happy I got it.",28,5.0,2019,07,July,30
good,1,Great product!!! Some of the coolest features I've seen on a keyboard. Easy to use and set up. The lights are a big hit as well. Simple to set up and use right out of the box. Definitely worth everything penny.,41,4.0,2019,07,July,28
"for people in the ""know""",5,Bought it for my son to use on his Xbox One. He loves it. Works perfectly,16,5.0,2019,07,July,28
Great keyboard when it decides to work.,7,Was not at all what I expected. Seems very cheaply made. My computer started acted very weird when it was installed as I was using it. Maybe this one was just defective but I do not want another one.,39,2.0,2019,07,July,27
"So far, so good.",4,"This keyboard is great. I was using it so quickly. I just plugged in the usb dongle and it was ready to go. The lights are so pretty , and the board is so lightweight, This is easily transportable. It has a switch, which allows you to shut of the lights if you choose. My daughter was so excited when she realized that besides the PC, she could also use on her Xbox. It would actually be great if this could come with multiple dongles so it could be used on more than 1 device at a time. However, it’s so easy to switch that it’s really not such a big deal to do it yourself. It charges really easily too. For the price, this is a good buy👍🏻",129,5.0,2019,07,July,26
Quality of the product,4,To me personally this item looks so 90's however I bought it for a friend and she says it works perfectly and makes her desk area look ALIVE !,29,5.0,2019,07,July,24
Great!,1,"Because the keylighting was not distinctive enough, and because the ""time-out""  was too fast for our preference it did not meet our needs.",23,5.0,2019,07,July,24
My grandson like it,4,Can’t see the letters on the keys.  Lights don’t add any benefit.  Return key is farther away than on most keyboards so end up hitting the / key instead. Very bad choice on my part.,35,5.0,2019,07,July,22
Great product.,2,"This is a neat keyboard! It’s smaller than my old wired one but that’s perfect.  It’s light weight and holds a charge.  I’ve been using it for about a week and have only charged it twice.  It hasn’t gone dead on me so I’m not sure how long it lasts with a full charge, I just need to make sure it doesn’t during gaming.The lights turn off after a few seconds of non use, but I’m sure that’s to save battery.The colors are neat!! I have a lighted mouse pad that lights up with the same colors and it looks pretty cool!All in all, I’m happy with this keyboard so far.",111,5.0,2019,07,July,21
iMac and is working fine,5,"Love the vivid color. It has a nice feature of the lights not staying on all the time so to save the battery life, I love that!",27,5.0,2019,07,July,20
"Best keyboards I have ever owned, extremely happy customer",9,My son loves his new gaming keyboard and thinks everything about it is great.I noticed that the product was reasonably priced and arrived promptly.My son recommends this to everyone who likes gaming.,32,5.0,2019,07,July,12
Almost perfect but the fact you can't keep lights always ON.,11,"I am a teacher and this is my first wireless keyboard and I LOVE IT!! It works dependably, and I can use it anywhere in my classroom. The freedom is wonderful!",31,3.0,2019,07,July,11
"Great Battery life, solid buy",5,Good stuff,2,5.0,2019,07,July,06
Works like a charm,4,Great product delivered with exceptional expectations thank you my kid love this keyboard,13,5.0,2019,06,June,29
Great keyboard for price,4,"This keyboard is simple and easy to use. You can change the blink speed of the led lights or if you prefer to leave it on. As well, it has a 10 -20 second sleep mode so pretty convient.",39,4.0,2019,06,June,18
"Buy this keyboard, no regrets",5,Good product would recommend if your looking for a good easy to setup keyboard.colors are great.,16,5.0,2019,06,June,01
Super price on solid product,5,"If you have intent on using this for anything other than typing good luck. The keys are weirdly spaced, it's membrane and not mechanical, and the position for some of the outer function keys are weird.",36,5.0,2019,05,May,28
So far so goo,4,used for xbox one,4,5.0,2019,05,May,24
Worked amazing,2,The product is not worth the price because the keys are too big the lights are dimmed and it felt poorly made in general although it worked correctly. 2/5 would spend money elsewhere,33,5.0,2019,05,May,18
"Sometimes, you get more than you pay for",8,"I ordered this after my very old HP wireless keyboard decided to tap out on me with a few of the keys just no longer working at all, & since my family member didn't want to spend the $$$ on a can of compressed air to fix it so I tried a few ways to see if it could be fixed trying a few other tips on my own as it was a a bit grimy/dirty but unfortunately for whatever reason the 4 keys still wouldn't work, so I figured why not purchase a brand new one & after searching on Amazon, my eyes were immediately drawn to this one!To be honest, so far I am really liking this keyboard, especially the colored lighting when it hits nighttime.Talk about a really nifty idea!! So far, I LOVE IT!The one downside I have with this keyboard though is the fact that it has to be charged using a charger to connectto my wireless PC when needed, & unfortunately I'd need to disconnect my separate wireless mouseconnector in order to charge up the battery for the keyboard as my PC only has 2 USB ports on the left side from what I can tell ( as I don't know if it might have a few more USB ports in the very back), which is a bit of a possible small letdown, but I am sure I'll get used to it overtime!With that said, it arrived in a timely & quick manner! I am super excited to begin using it & gonna hope that itwill last as long as it does! =)",269,5.0,2019,05,May,12
Nice Keyboard,2,I love this keyboard! I use it for work. I connect it to a tablet to type my reports. It works great! And I love the different colors of the back-lit keyboard.,32,4.0,2019,05,May,08
Do not waste your money / Garbage Keyboard,8,Absolutely love this for PS4 gaming.,6,1.0,2019,05,May,04
Returned,1,"I bought this keyboard specifically to play Final Fantasy 14 for the PS4. It is ""plug and play"" on the PS4 and Xbox one.  It works great, I don't notice a lag. I have been playing off and on for 3 days and the battery has not needed a charge yet.",51,2.0,2019,05,May,01
"Overall, quiet, no frills keyboard.",5,Lights doesn't stay on,4,5.0,2019,05,May,01
Great lighted wireless keyboard,4,"Love this keyboard.BUT, couldn't figure out how to recharge. had friend who is much smarter than me. #1 don't throw out USB cord connect this between computer and board. Simple? Yes. Holds charge for long time",36,5.0,2019,04,April,30
Very happy with this purchase,5,"This is the most inconsistent keyboard ever.  It worked fine for the first 2 months but now it only seems to work when it wants to. That's terrible for gaming. You'll be in a game and out of nowhere your character is taking damage and you're like,""What the hell?!"" Ive had this for about 4 months and its already failing on me. I can't recommend this.",66,5.0,2019,04,April,30
This is an amazing keyboard!,5,"I bought this because the keyboard on my daughter's ASUS gaming laptop kept having problems with the keys popping off. This is working well for now, and she enjoys the light-up feature.",32,5.0,2019,04,April,28
Really nice keyboard,3,This product has been so far great! I didn't encounter any problems with it!,14,5.0,2019,04,April,27
Best Keyboard Ever,3,"Just wondering, however, is there a way to control the lights (brightness, color, etc.)?",14,5.0,2019,04,April,25
Works great!,2,It was for my grandson and no complaints from him so I guess it is fine,16,5.0,2019,04,April,25
Love it,2,"This keyboard is great! It works exactly as advertised. The keys are quiet, the design is very fluid and the lights are cool. I charged it once, when it came out of the box and have used it for hours doing work and playing games, still haven’t had to recharge. Great product, definitely worth the money.",56,5.0,2019,04,April,24
Great keyboard!,2,Backlight works good on iMac.,5,4.0,2019,04,April,19
Great Value,2,Great product. I already own a wired version of this exact keyboard I was so happy with it I bought the wireless version both keyboards are in use today and wonderful. Don’t hesitate this is the keyboard for you.,39,5.0,2019,04,April,10
Beautiful,1,"The fact that you can't keep the lights always on totally defeats the purpose of buying this product for gaming and night time using. the lights turn off too fast if you are not constantly typing something even at their longest settings.And you can't select just one of the five colors of the LEDs, so you are stuck with the rainbow lights.Also it's not that very quiet compared to an old mechanical keyboard i have, it's only about 10-20% quieter.I hate the fact that I thought i was buying an AMERICAN product because of the American flag on their  main advertising image on it's front page but it's made in China.",111,5.0,2019,04,April,09
Only one complaint,3,"I charged it once a few months ago... still waiting for the battery to die, and it get used pretty regularly. Nice thing is that it only uses battery when it’s in use.",33,4.0,2019,04,April,07
I like it,3,Beautiful and easy product. Company quick to respond to any questions. Highly recommended.,13,5.0,2019,04,April,05
Great wireless gaming keyboard at a price that's scary cheap.,10,Batter life is pretty good and overall great keyboard only complaint is the light is a little dim,18,5.0,2019,04,April,04
Quality product,2,"Good quality, we use it for gaming, the backlight is awesome as well",13,5.0,2019,04,April,03
placement of back slashkwy,4,Works greatEasy hook up and looks goodSolid assemblyGreat price,9,2.0,2019,03,March,26
You get what you pay for!,6,I bought these to replace my old cheap headphones. Tried these on and they sounded worse than my old ones! Also no returns allowed! Disappointing!,25,2.0,2022,11,November,09
Good for its price,4,This headset is very affordable and has great quality sound.,10,5.0,2022,11,November,09
Only Half Works - Please don't buy,7,"The muting function doesn't work. My DnD co-players constantly tell me I cut out, so the mic also doesn't work. The speakers are okay, but the rest is junk. I would return, but the window has closed. Please don't buy these.",41,1.0,2022,11,November,09
Better in some ways than some more expensive pairs I own,11,"For the price, you’re getting something better than most other expensive headsets. I do want to say that the people who can’t get the mic to work need to stop I’m using the splitter. That thing is for older tower PC’s that use a pair of ports; one for the output, and one for the input. I can use these on my laptop PC and use the mic fine without the splitter.",72,5.0,2022,11,November,08
THESE SUCK !!!!,3,Bought these for gaming worst thing I ever bought . Can barely hear anything even with the volume turned all the way up. Don’t waste your money or time with this junk!!!!,32,1.0,2022,11,November,08
HORRIBLE,1,"The sound is decent but the microphone does not work at all. Fix your crap. Frustrating and returning, never again will I buy this.",24,1.0,2022,11,November,08
is a good gift for your gaming bf!,8,i wanted a cheapish head set for my bf at the time and saw this and figured ok why not. the cord is SUPER long so you can sit anywhere in the room you’re playing in and have a good reach on wire. it sounds good and works good !,50,5.0,2022,11,November,07
Doesn't hold up well,4,"Ordered for my son, they didn't last but a week or so. One side stopped working after about a week.",20,4.0,2022,11,November,07
Awesome,1,Very nice headphones! Kids use them for gaming as well as headphones for their iPads! Great sound quality!,18,5.0,2022,11,November,07
False advertising- not compatible with Xbox,6,"They are not compatible with Xbox, and therefore advertising falsely. I don’t care that they work with an adapter (not included). Any headphones work with an adapter. Therefore false advertising.",30,1.0,2022,11,November,06
Good for the price,4,After a few months the connecter is picky if it wants to work or not- was great when it worked perfectly but with unplugging and plugging in it has gotten weak and no longer likes to work. Would recommend if you don’t have kids that like to play with your gaming set up. Lmao,54,4.0,2022,11,November,06
Great price,2,Mic tends to go in and out on occasion,9,4.0,2022,11,November,06
THEY DO NOT WORK WITH X BOX ONE S WITHOUT AN ADAPTER,12,They do not work with an X box one S. You have to buy a $30 adapter for them to work. False advertising,23,1.0,2022,11,November,06
"Can hear everything just fine, no one can hear me at all. Tried it on PC and Xbox. DO NOT BUY",21,"Thought these were a good deal. Volume out works great.  However the mic is an out of box failure. No one can hear me at all. Tried on PC and Xbox. My old headset, the cord was chewed in half by our cat, I HELD THE WIRES TOGETHER ON OUR OLD SET AND PEOPLE COULD HEAR ME BETTER THAN WITH THIS SET. DO NOT BUY.",65,1.0,2022,11,November,06
Nice headset for short duration,5,"Noticed that after a long period of wear, the outside of my ears start to hurt.",16,4.0,2022,11,November,06
Can't plug in all the way in audio port or doesn't work. Cord way to short.,16,Cord way too short.  Sound comes and goes. Sad,9,1.0,2022,11,November,06
Works Like a Headset,4,"Not a great headset, but probably good for somebody trying to get started with gaming.",15,3.0,2022,11,November,05
Good,1,Good sound good headphones,4,5.0,2022,11,November,05
Buy the hell out of this in bulk.,8,High quality. Great comfort. Glows as shown. Buy it.,9,5.0,2022,11,November,05
It not best,3,I just got in today happy to start gaming with it the mic you can't talk it static not  Is worth getting it just better off get 50/60 dollars mic I  Regret getting it but sound it good but everything else is bad,43,1.0,2022,11,November,04
Fantastic,1,Fantastic,1,5.0,2022,11,November,04
Mic output comes out muffled on PC,7,My input on discord comes out muffled and teammates cant hear me. I hear them fine but mic seem to be bad quality.,23,1.0,2022,11,November,03
Best mic out for the price,6,My 3rd time buying one works for all consoles and pc best mic out there for the price works great,20,5.0,2022,11,November,03
It’s not working already!!,4,I bought this headset 3 months ago and from day one it has a weird staticky noise. Now you can’t hear from it at all. This product sucks. NEVER BUYING ANYTHING FROM THEM AGAIN! Waist of money!,37,1.0,2022,11,November,03
Great headset for the price!,5,Great for online gaming and seems like the headset is built very well.,13,5.0,2022,11,November,03
Mic will not work for my PS4,7,"I ordered the head blue cheaper set of head phones with mic, the mic does not work for my PS4. I even ordered a second one because I thought my first set was broken. Just junk I guess",38,1.0,2022,11,November,02
Not worth $60.,3,This is a $20 headset at best. Not what I expected. I question the reviews.,15,3.0,2022,11,November,02
Returned,1,The USB only works for the lights not for connecting the device to your computer.,15,3.0,2022,11,November,02
A beast!,2,I recently bought this for my son. It’s perfect! We’ve had issues with soo many head sets being cheap quality. This one is a must! I love the color options as well. His favorite color is orange so he’s loving this! Please order if you are considering buying one!,49,5.0,2022,11,November,02
Being used on Xbox one,5,So far so good,4,5.0,2022,11,November,02
Need to be clear it's not for ps5,8,This item popped up for results what's compatible for ps5 and this is not,14,1.0,2022,11,November,02
"Decent, But Not Great",4,"This headset works alright. For being made of cheap feeling and looking plastic, it does the job. But the sound quality is not good. And there’s practically no noise cancellation. It also only lights up when its plugged in. Highly suggest saving your money and getting a better quality headset.",50,2.0,2022,11,November,02
don't work,2,doesn't work with my pc yet other headphones or mics do..,11,1.0,2022,11,November,01
Inexpensive gaming head set,4,"This is a good head set if you need something quick and cheap for gaming. I have 5 kids ranging from 2 to 11 and if the younger ones get ahold of them, I don’t expect them to last very long. They are cheap enough that I just get a new pair when they stop working. They work well, but are no BOSE headset.",64,3.0,2022,11,November,01
Great,1,Grandson loves them,3,5.0,2022,11,November,01
Can't beat for the money,5,You are not going to find a better headset for the money. I can hear someone sneaking up on my on COD but can't hear my wife talking to me from the kitchen.,33,5.0,2022,11,November,01
Great,1,Works really good when you playing call of duty or division to love this item this is the second pair I’ve bought one for me and one for my friend,30,5.0,2022,11,November,01
Loved it,2,A gift but he loved it,6,5.0,2022,11,November,01
It was good... until it wasn't.,6,"I bought these back in May, it is now October and they're dead. They were great! Good sound, good mic. Then they just up and died. Well past my return window, of course. That's what I get for trying to save money.",42,1.0,2022,11,November,01
Not good headphones,3,"I don’t know if mine have a factory defect or something, but is not loud at all, I nearly hear anything from the left side, it’s a waste of money to me.",32,1.0,2022,10,October,31
"Looks and word great , talk has problem",8,Gaming for fun,3,5.0,2022,10,October,31
Worked at first...,3,"As the title states, This headset worked at first. After about two - three months the sound became quieter. Four months later I no longer have sound on the left side. Oh well, not bad for about $30 :/",39,2.0,2022,10,October,29
These are great!,3,"These headphones are amazing and I love them so much! The noise cancelation is okay, It works but its not as perfect as I thought it would be. They are comfortable but they do not connect to my Android phone. The headphones only light up when you plug them into the spot where I plug in my mouse so I was a bit disappointed about that but other than that, they are super comfortable and I love them so much.",80,5.0,2022,10,October,29
aint the best but aint the worst either.,8,aint the best but aint the worst either.,8,3.0,2022,10,October,29
Good value for the money spent.,6,"It's not quite as good as some of the high end headsets for comfort and noise canceling, but it does a good job at everything else. Definitely a good value for the money spent.",34,5.0,2022,10,October,29
Best headset,2,Now I don't really use my headset to talk to people in game so let me preface this review by saying I have no idea how that works BUT it's perfect for what I need it for which is to have headphones in while I game. The sound quality is absolutely beautiful and it goes perfect with my purple PS5 controller,61,5.0,2022,10,October,28
Great headset!,2,Liked everything. Great for Fortnite!,5,5.0,2022,10,October,28
Don't recommend,2,"I thought I would give these a try but the mic is difficult because I have to yell for it to pick up my voice, or I have to mute then unmute for mic to work because randomly it stops. Then it's so tight on my head I got a headache in 5min. It was so uncomfortable to wear. My cheap turtle beach ones are 10x better. I just don't recommend.",71,1.0,2022,10,October,28
This was bought as a gift,6,The recipient liked it,4,5.0,2022,10,October,25
Innexpensive but work well. Worth their price.,7,"Feel a little light and cheap, but really ao far id say fair price for fair quality. I wasn't expecting Bose or Sure... but they work for casual gaming or looking like a little gamer kid in work meetings, haha.",40,4.0,2022,10,October,25
Great!,1,Given as gift and they love it!!!,7,5.0,2022,10,October,25
My mic broke 2 months into use.,7,"This headset is connected to my controller and I use it to play games. There is a mic on/off switch on the headset which I use to mute and unmute myself when necessary. Now that switch does nothing. No matter what position the switch is in the mic doesn’t work. Also, randomly and often there will be a bunch of crackling and humming sounds that is heard by all players online at the moment coming from me.  This happens even with the microphone not working. Headphones sound quality is nice, but mic needs some work.",95,3.0,2022,10,October,25
Great Quality,2,Hubby got this as a bithday gift. As an avid gamer he fell in love with it. The mic was great and canceled all of the background noise including our 7 month old crying.,34,5.0,2022,10,October,25
Excelente suena bien.,3,Excelente,1,5.0,2022,10,October,25
Pretty good,2,"My boyfriend bought these for gaming and he likes them. The only thing he has said is that it feels like it’s squeezing his ears, maybe they’re a little tight but other than that he loves them. He literally wears them for hours sometimes so I don’t think the ear thing is that serious.",54,4.0,2022,10,October,25
VERY COMFORTABLE,2,These headphones are really comfortable. Other headsets that I've purchased sometimes have hurt my head. I can wear these for hours and can't even feel them on my head. The battery is amazing and they charge really fast and stay charged for a long period of time. I highly recommend these if you are looking for comfort.,57,5.0,2022,10,October,24
so so headphones,3,"not the best headphones, they're good cheap ones but the sound on one side did go out eventually. you get what you pay for I guess.",26,2.0,2022,10,October,24
Mic is absolutely terrible!!,4,The sound quality is good for the price but it is not very comfortable headset. All of my freinds were always telling me to get a new mic and I finally understood why after hearing myself on the mic it’s so loud with the most annoying echo. I have to hook up a separate mic if I want to play games with freinds and the headset just isn’t even that comfortable with the mic turn off option mot even working half the time. It’s mostly what you’d expect for the price but I’ve gotten headsets 3x as good for the same price so I do not recommend. I honestly have no idea why this headset is so recommended it really isn’t that great at all.,125,2.0,2022,10,October,23
Love these!,2,Love these headphones! Perfect for PC gaming and even Console gaming. Great sound. Long cord and light weight! Highly recommend.,20,5.0,2022,10,October,23
Not comfortable on ears for more than a few minutes at a time.,13,"The cushion material is very uncomfortable after a few minutes of wear.  It feels like your ears get hot quickly.  It seems it would have been easy to cover foam ear piece with a more ""breathable"" material.Sound quality is great and the microphone seems to be perfect.But, sound quality means absolutely nothing if it is too uncomfortable to wear.",59,1.0,2022,10,October,23
Good,1,Two thumbs up,3,5.0,2022,10,October,23
Mic Issues,2,"Glad to see im not the only one, Had the headset for about 7 months and my Mic just stopped working.",21,5.0,2022,10,October,23
I'm very pleased thank you,5,Gaming,1,5.0,2022,10,October,23
Damged,1,I missed the return window by two days and the product which was a gift ended up being damaged. Very disappointed and stuck with a damaged item. The microphone did not work. Do not get this item.,37,1.0,2022,10,October,22
Didnt last long,3,had these for around 6months when the right side speaker stopped working,12,2.0,2022,10,October,22
Not good quality,3,Not good at all,4,1.0,2022,10,October,22
Headset breaks without any physical damage.,6,Product does not last long !,6,1.0,2022,10,October,22
Cheaply made,2,Off and on button stop working and the audio just quit. Only had couple months. Made for a kid not adult ears are to small,25,1.0,2022,10,October,21
Great for budget trash talkin,5,"Work great, my voice can be thoroughly heard throughout the lobby.",11,4.0,2022,10,October,21
Can not plug in USB to ps4 and plug into controller to use for ps4,15,Looks good however whoever designed the wiring needs to fix it. Spliter is 2 short to have USB plugged into rear of ps4 to use lights.,26,3.0,2022,10,October,20
Unable to use,3,"Very heavy static, mic lags terribly, unable to use! In this case you get what you pay for! Definitely didn’t work!",21,1.0,2022,10,October,20
Good but missed them having both aux and usb.,9,They are good but I hate that I have to have both usb and aux connected.,16,4.0,2022,10,October,19
It is a terrible headset,5,"I got this multiple times it is a terrible headset, and I hate it",14,1.0,2022,10,October,19
Gift,1,He likes them,3,5.0,2022,10,October,19
Did not work,3,Literally did not work. Pure garbage,6,1.0,2022,10,October,19
Great headphones,2,Two (2) stars because the ear cuffs are soft. Volume key doesn't do much at all for the volume. Literally. I played audio through my projector because I couldn't get any.  games sound loud enough on the headset.,38,5.0,2022,10,October,15
it’s trash,2,Bought for my son. He is not easy on them but so far they are keeping up,17,1.0,2022,10,October,14
Can't believe these are so cheap for the insane value,10,"This worked one time and then didn't, piece of crap",10,5.0,2022,10,October,14
Some static,2,Poorly made,2,4.0,2022,10,October,14
Hmmm.,1,"I have used these headphones for multiple years. I am a power user I'd say, a remote worker with hours of meetings every day. I still can't believe that they are so good for such an amazing price. The cord is super long, during meetings I can get up and walk around. Noise cancellation is amazingly good. They are comfortable. They have volume control and mute control on the headphones themselves. What more could you possibly want? I hope they sell these forever.",83,3.0,2022,10,October,14
100% love this thing!,4,I use this for my Xbox partychat never had issue in the past and I've gotten the same one from the same person but the one I got recently seems to be a little staticky so it's constantly in your ears and in somebody else's ears other than that they're okay just static gaming,54,5.0,2022,10,October,14
Works just fine,3,"This is good for its price, but if you want quality, look for some higher costing ones.",17,5.0,2022,10,October,13
Good Noise Cancellation and Well made,6,Absolutely 100% love this sign. ❤️,6,5.0,2022,10,October,13
Works well!,2,"My first gaming headphones and their great. Noise cancellation is a little light, but audio works well.",17,5.0,2022,10,October,13
Great!,1,"My son goes through headphones quickly (not certain what he does to them) these are holding up well to the abuses of a kid. they have good noise cancelling, because he can't hear me when i try to talk to him. The short fixed boom is wired well and seems to be holding up.",54,5.0,2022,10,October,13
Plastic Crap,2,My son picked this out and loves it. It works well with our playstation 4.,15,1.0,2022,10,October,13
He loves it,3,My son absolutely loves them! Would definitely buy them again!,10,5.0,2022,10,October,13
They are great but if you want the lights to work you have to plug it into your console,19,"Awful sound quality, mic sounds worse then a international phone call. And they feel extremely uncomfortable and stuff. Returned immediately.",20,5.0,2022,10,October,13
My grandson loves them he was so excited.,8,Games,1,5.0,2022,10,October,12
Pretty good for the price.,5,They are comfortable I was playing with my friend and he could tell the difference from my old ones. But if you want to have the light on you have to plug it up to your console or the wall,40,5.0,2022,10,October,12
"Literal dog water, ears hurt from constant thumping.",8,My grandson is 16 and blocks  us all out now lol. He loves playing with his cousins and uncle in Indiana. There a great gaming headset for him. Thank you 😊,31,1.0,2022,10,October,12
Never trust the Bengoos,4,These and the other Chinese brand that are exactly the same are pretty good for the price.  I have owned 3 andnthisnis my 4th pair. Like anything else the cable does eventually good bad at the plug end however every set has lasted me over a year. I think the shortest time frame was about a year and a half and that is using them basically every day for hours on end. Sound is not broadcast quality by any means but it's not terrible either. I have never had any complaints from anyone saying they Sound bad or hard to understand or hear.,103,1.0,2022,10,October,12
Great for the price,4,"Constant thumping, would personally burn or smash",7,4.0,2022,10,October,12
8 year old loves it,5,"One night your headphones break…. And you check Amazon for a new pair of cheap headphones. You may stumble across a pair of nice looking headphones, which are only $19.99 and a whopping 60% discount. Trust me, there is a reason these nightmare bengoo’s are more than half off. You may think these headphones look legit, but once you plug them into your controller, all hell breaks loose. Not only will the legendary bengoos lodge out of your controller about 6 times per minute… if you are ever in a gaming party, I want to say good luck to the other soldiers in that chat. They may think you just bought a new pair of nice headphones, but little do they know they are about to enter the midst of a modern war fare multiplayer lobby. The sound everyone hears when you pop on the bengoos, mirror the sound of a precision air strike happening 24/7 in the mic… one would assume you are in the middle of a war. If you are ever thinking of acquiring a pair of bengoo headphones… make sure you don’t have any friends, because you will lose them very quickly when you destroy their ears in a game chat.I am warning you now. Once you acquire a bengoo… the rest is on you good sir.",221,5.0,2022,10,October,12
Built in mic,3,I use these when playing Xbox online. Very good sound quality!,11,4.0,2022,10,October,05
The headphones go out and often disconnects from my IPad and my Nintendo Switch.,14,Bought for my niece for my birthday! She loved it,10,4.0,2022,10,October,05
Decent headphones with false advertising.,5,"I've had mine for 2 years now and the outer ""skin"" on the earmuffs is now peeling off. They still sound great for how much they cost but I'm told the mic doesn't sound very good. I've since switched to another mic but still use this headset and will continue to do so until the earmuffs completely fall apart.",59,2.0,2022,10,October,11
